01-01;Marija, Reljefima
01-02;Bazilije, Grgur
01-03;Isusovo, Genoveva, Cvijeta
01-04;Sdislava
01-05;Emilijana, Radoslav, Miljenko
01-06;Gašpar
01-07;Rajmund, Lucijan, Zorislav
01-08;Severin, Bogoljub, Apolinarij
01-09;Julijan, Živko, Miodrag
01-10;Agaton, Dobroslav, Aldo
01-11;Honorat, Neven
01-12;Arkadije, Živana, Ernest
01-13;Hilarije, Veselko, Radovan
01-14;Felik, Srećko
01-15;Franjo
01-16;Marcel, Oton, Mislav
01-17;Antun, Lavoslav, Vojmil
01-18;Margareta, Priska
01-19;Mario, Ljiljana, Marta
01-20;Fabijan, Sebastijan
01-21;Agneza, Janja, Neža
01-22;Vinko, Irena
01-23;Emerencijana, Ema, Vjera, Milko
01-24;Franjo, Bogoslav
01-25;Ananija
01-26;Timotej, Tit, Paula, Tonka
01-27;Angela, Vitalijan, Pribislav
01-28;Toma, Tomislav
01-29;Vilana, Valerije, Konstancije
01-30;Martina, Tina, Gordana
01-31;Ivan, Marcela, Julije
02-01;Brigita, Gita, Miroslav
02-02;Marijan
02-03;Blaž, Vlaho, Tripun
02-04;Katarina, Andrija, Veronika
02-05;Agata, Dobrila, Jagoda
02-06;Pavao, Doroteja, Dora
02-07;Pio, Rikard, Držislav
02-08;Jeronim, Jerko
02-09;Apolonija, Zora, Sunčica
02-10;Alojzije, Skolastika, Rastija
02-11;Lurdska
02-12;Reginald, Damjan, Eulalija
02-13;Jordan, Božidar, Božica
02-14;Valentin, Valentina, Zdravko
02-15;Klaudije
02-16;Onezim, Julijana, Miljenko
02-17;Donat
02-18;Angelico, Šimun, Flavijan, Gizela
02-19;Konrad, Ratko, Blago
02-20;Lav, Lea
02-21;Petar, Damir, Eleonora
02-22;Grozdan
02-23;Polikarp, Romana
02-24;Montan, Goran, Modest, Ranko
02-25;Aleksandar, Sandra, Branimir
02-26;Gabriel, Donat
02-27;Roman, Teofil, Bogoljub
02-28;
02-29;
03-01;Čista, Albin, Zoran
03-02;Ines, Čedomil, Iskra
03-03;Anzelmo, Marin, Kamilo
03-04;Kazimir, Eugen, Natko
03-05;Euzebije, Vedran
03-06;Koleta, Zvjezdana, Viktor
03-07;Perpetua, Felicita, Ardo
03-08;Pačista, Ivan
03-09;Franciska, Franjka
03-10;Emilijan, Emil, Krunoslav
03-11;Firmil, Trvtko
03-12;Bernard, Budislav, Maksimilijan
03-13;Rozalija, Ratka, Kristina
03-14;Matilda, Miljana, Borka
03-15;Bezimena, Longin
03-16;Hrvoje, Miljan
03-17;Patrik, Domagoj, Hrvatin
03-18;Ćiril, Cvjetan
03-19;Joso, Joško
03-20;Klaudija, Dionizije, Vladislav
03-21;Kristijan, Vesna, Vlasta
03-22;Sredoposna, Oktav
03-23;Oton, Dražen
03-24;Katarina, Simeon
03-25;Blagovijest
03-26;Montan, Maksima, Emanuel
03-27;Ivan, Rupert, Lidija, Lada
03-28;Priska, Sonja, Polion
03-29;Gluha, Jona, Bertold
03-30;Kvirin, Viktor, Krescent
03-31;Benjamin, Amos, Ljubomir
04-01;Hugo, Teodora
04-02;Franjo, Dragoljub
04-03;Rikard, Svevlad, Benedikt
04-04;Izidor, Dora, Strahimir
04-05;Krescencija, Vinko, Marija
04-06;Vilim, Rajko
04-07;Ivan, Herman, Epifan
04-08;Dionizije, Alemka
04-09;Marija, Demetrije
04-10;Ezekijel
04-11;Stanislav, Stana, Radmila
04-12;Julije, Viktor, Davorka
04-13;Martin, Ida
04-14;Valerijan, Maksim
04-15;Krescent, Bosiljka, Anastazija
04-16;Josip, Bernardica
04-17;Rudolf, Robert
04-18;Eleuterija, Amadej
04-19;Konrad, Ema, Rastislav
04-20;Janja, Marcijan
04-21;Anzelmo, Goran
04-22;Soter, Kajo, Vojmil
04-23;Juraj, Juro, Ðuro, Ðurdica
04-24;Fidelis, Vjeran, Vjerko, Vjera
04-25;Marko, Maroje
04-26;Kleto, Marcelin, Višnja
04-27;Ozana, Jakov
04-28;Petar, Ljudevit, Grignon
04-29;Katarina, Sijenska
04-30;Pio, Josip, Cottolengo
05-01;Josip
05-02;Anastazije, Eugen, Boris
05-03;Filip, Jakov, Jakica
05-04;Florijan, Cvjetko, Cvijeta
05-05;Vinko, Maksim, Andenlko
05-06;Dominik, Nedjeljko, Benedikta
05-07;Dujam, Duje, Duška, Gizela
05-08;Marija, Marina, Ida
05-09;Herman, Mirna, Beato, Kristofor
05-10;Ivan, Gospa
05-11;Mamerto
05-12;Leopold, Mandic
05-13;Gospa, Servacije, Ena
05-14;Matija, Mate, Matko, Matea
05-15;Sofija
05-16;Ivan, Andrija, Nenad
05-17;Paskal, Paško
05-18;Ivan, Venancije, Srecko
05-19;Celestin, Rajko, Teofil, Inka
05-20;Bernardin
05-21;Eugen, Mazenod
05-22;Renata, Rita, Jelena, Jagoda
05-23;Deziderije, Želimir, Vilim
05-24;Marija, Suzana
05-25;Beda, Grgur
05-26;Filip, Zdenko, Eleuterij
05-27;Augustin
05-28;German
05-29;Polion, Euzebije, Veceslav
05-30;Ivana, Ferdinand
05-31;Jakov, Salomon
06-01;Marija, Justin, Malden
06-02;Marcelin, Petar, Sadok, Eugen
06-03;Karlo
06-04;Kvirin, Petar, Predrag
06-05;Bonifacije, Valerija, Darinka
06-06;Nobert, Neda, Klaudije, Berto
06-07;Robert
06-08;Dijana, Cecilija, Medardo
06-09;Efrem, Ranko
06-10;Margareta, Dijana
06-11;Barnaba, Borna
06-12;Ivan, Bosiljko, Nino
06-13;Antun, Ante, Tonci, Toni
06-14;Rufin, Elizej, Zlatko
06-15;Vid, Modest
06-16;Franjo
06-17;Laura, Nevenka, Adolf
06-18;Marko, Marcelijan, Ljubomir
06-19;Romualdo
06-20;Silverije
06-21;Alojzije
06-22;Ivan, Toma
06-23;Josip, Sidonija, Zdenka
06-24;Ivan
06-25;Vilim, Nora
06-26;Ivan, Pavao, Vigilije, Zoran
06-27;Ladislav, Ciril
06-28;Irenej, Smiljan
06-29;Petar, Pavao, Krešimir
06-30;Kajo
07-01;Estera
07-02;Oton, Višnja, Ostoja
07-03;Toma, Tomislav, Tomo, Miki
07-04;Elizabeta, Elza, Berta
07-05;Ciril, Metod, Slaven
07-06;Marija
07-07;Vilibald, Vilko, Klaudija
07-08;Akvila, Priscila
07-09;Marija, Ivan
07-10;Amalija, Alma, Ljubica, Ljuba
07-11;Benedikt, Olga, Oliver
07-12;Mislav, Tanja, Suzana
07-13;Euzebije
07-14;Kamilo, Miroslav
07-15;Bonaventura
07-16;Karmela
07-17;Ceslav, Branko, Dunja
07-18;Fridrik, Dalibor, Arnold
07-19;Justa, Rufina, Zlatka
07-20;Ilija, Ilijana
07-21;Danijel, Lovro, Danica
07-22;Marija
07-23;Brigita, Ivan, Slobodan
07-24;Kristina, Mirjana
07-25;Jakov, Kristofor, Kristo
07-26;Joakim, Ana
07-27;Klement, Natalija
07-28;Inocent
07-29;Marta, Blaženka
07-30;Petar, Rufin, Anda
07-31;Vatroslav, Ognjen
08-01;Alfons, Vjera, Nada
08-02;Euzebije
08-03;Augustin, Lidija
08-04;Ivan, Ivica, Tertulijan
08-05;Snježana, Nives
08-06;Stjepan
08-07;Siksto, Kajetan, Albert
08-08;Dominik, Nedjeljko, Dinko
08-09;Edith, Tvrtko
08-10;Lovro, Laura
08-11;Klara, Asiška, Jasminka
08-12;Anicet, Hilarija
08-13;Poncijan, Hipolit, Ivan
08-14;Maksimilijan, Alfred
08-15;Marija, Velika
08-16;Rok, Stjepan
08-17;Hijacint, Slobodan
08-18;Jelena, Manes
08-19;Ivan
08-20;Bernard, Branko, Dino
08-21;Hermogen, Anastazij
08-22;Regina, Vladislava
08-23;Ruža, Filip
08-24;Bariša, Zlata
08-25;Ljudevit, Josip, Patricija
08-26;Aleksandar
08-27;Monika, Honorat, Caslav
08-28;Augustin, Tin, Gustav
08-29;Sabina
08-30;Feliks, Radoslava
08-31;Rajmund, Rajko, Paulin
09-01;Egidije, Branimir, Branislav
09-02;Kalista, Divna
09-03;Grgur, Grga, Mansvet
09-04;Dunja, Ida
09-05;Roman, Lovro
09-06;Davor
09-07;Marko
09-08;Marica, Maja, Alen
09-09;Petar
09-10;Nikola, Pulherija, Lijepa
09-11;Hijacint, Cvjetko, Miljenko
09-12;Ime, Marija
09-13;Ivan, Ljubo
09-14;Višeslav
09-15;Dolores
09-16;Kornelije, Cipirijan
09-17;Robert, Franje
09-18;Ivan, Irena
09-19;Januarije, Emilija
09-20;Andrija
09-21;Matej, Mate, Matko
09-22;Toma, Mauricije
09-23;Lino, Tekla
09-24;Mercedes
09-25;Nikola, Aurelija, Kleofa
09-26;Kuzma, Damjan, Damir
09-27;Vinko, Gaj
09-28;Dominik, Vjenceslav
09-29;Mihovil, Rafael, Gabrijel
09-30;Jeronim, Jerko
10-01;Tereza, Terezija
10-02;Andelko, Anda
10-03;Kandid, Maksimilijan, Evald
10-04;Franjo
10-05;Rajmund, Flavijan, Miodrag
10-06;Bruno, Fides, Verica, Vjera
10-07;Justina
10-08;Šimun, Zvonimir
10-09;Ljudevit, Dionizije, Ivan
10-10;Franjo, Danijel, Danko
10-11;Emilijan, Bruno
10-12;Serafin, Makso, Edvin
10-13;Edvard, Edo, Teofil
10-14;Kalist
10-15;Terezija, Tereza, Zlata
10-16;Margareta, Marija, Alacoque
10-17;Ignacije, Vatroslav, Ognjen
10-18;Luka, Trifonija
10-19;Pavao
10-20;Vendelin, Irena, Miroslava
10-21;Uršula, Hilarija
10-22;Marija, Dražen, Cedomil
10-23;Ivan, Borislav, Severin
10-24;Antun, Jaroslav
10-25;Katarina
10-26;Demetrije, Zvonimir
10-27;Gordana, Cvitko
10-28;Šimun, Juda
10-29;Narcis, Stojko, Darko, Ida
10-30;Marcel, Marojko, Lukan
10-31;Alfonz, Vuk, Vukmir
11-01;Svetislav, Sveto
11-02;Dušica, Duško
11-03;Martin, Hubert
11-04;Karlo, Dragutin, Drago
11-05;Emerik, Mirko
11-06;Leonard, Vedran, Sever
11-07;Engelbert, Andelko
11-08;Milotislav, Bogdan
11-09;Ivan
11-10;Leon, Lavoslav, Lav
11-11;Martin
11-12;Jozafat, Milan, Renato
11-13;Stanislav, Stanko
11-14;Nikola, Ivan
11-15;Albert, Leopold
11-16;Margareta
11-17;Elizabeta, Igor, Grgur
11-18;
11-19;Janja, Matilda, Krispin
11-20;Feliks, Srecko, Edmund
11-21;Mavro
11-22;Cecilija, Filemon
11-23;Klement, Milivoj
11-24;Krizogon, Krševan
11-25;Katarina
11-26;Konrad, Leonardo, Dubravko
11-27;Virgilije, Severin, Velimir
11-28;Jakov, Markijski, Katarina
11-29;Saturnin, Svjetlana
11-30;Andrija, Andreja
12-01;Eligije, Božena
12-02;Bibijana, Blanka
12-03;Franjo, Klaudije, Lucije
12-04;Ivan, Barbara
12-05;Saba, Krispina, Sabina
12-06;Nikola, Nikša
12-07;Ambrozije, Marin
12-08;
12-09;Valerija, Zdravka
12-10;Julija, Judita
12-11;Damaz, Barsaba, Damir
12-12;Ivana
12-13;Lucija, Jasna, Svjetlana
12-14;Ivan, Krševan
12-15;Irenej
12-16;Adela, Albina, Zorka
12-17;Lazar, Izak, Jolanda
12-18;Gacijan, Bosiljko, Rufo
12-19;Urban, Vladimir, Božica
12-20;Eugen, Makarije, Amon
12-21;Petar, Perica
12-22;Honorat, Caslav, Zenon
12-23;Ivan, Viktorija
12-24;Adam, Eva
12-25;Božidar, Božo, Natalija
12-26;Stjepan, Krunoslav
12-27;Ivan, Ivo, Janko
12-28;Mladen, Nevenka
12-29;Toma, David, Davor
12-30;Feliks, Sabin
12-31;Silvestar, Zahvalnica
