01-01;
01-02;Karina
01-03;Radmila
01-04;Diana
01-05;Dalimil
01-06;
01-07;Vilma
01-08;Čestmír
01-09;Vladan
01-10;Břetislav
01-11;Bohdana
01-12;Pravoslav
01-13;Edita
01-14;Radovan
01-15;Alice
01-16;Ctirad
01-17;Drahoslav
01-18;Vladislav
01-19;Doubravka
01-20;Ilona
01-21;Běla
01-22;Slavomír
01-23;Zdeněk
01-24;Milena
01-25;Miloš
01-26;Zora
01-27;Ingrid
01-28;Otýlie
01-29;Zdislava
01-30;Robin
01-31;Marika
02-01;Hynek, Jasmína
02-02;Nela, Hromnice
02-03;Blažej
02-04;Jarmila
02-05;Dobromila
02-06;Vanda, Arjuna
02-07;Veronika
02-08;Milada
02-09;Apolena
02-10;Mojmír
02-11;Božena
02-12;Slavěna
02-13;Věnceslav
02-14;Valentýn
02-15;Jiřina
02-16;Ljuba
02-17;Miloslava
02-18;Gizela
02-19;Patrik
02-20;Oldřich
02-21;Lenka
02-22;Petr
02-23;Svatopluk
02-24;Matěj
02-25;Liliana
02-26;Dorota
02-27;Alexandr
02-28;Lumír
02-29;Horymír
03-01;Bedřich
03-02;Anežka
03-03;Kamil
03-04;Stela
03-05;Kazimír
03-06;Miroslav
03-07;Tomáš
03-08;Gabriela
03-09;Františka
03-10;Viktorie
03-11;Anděla
03-12;Řehoř
03-13;Růžena
03-14;Rút, Matylda
03-15;Ida
03-16;Elena, Herbert
03-17;Vlastimil
03-18;Eduard
03-19;Josef
03-20;Světlana
03-21;Radek
03-22;Leona
03-23;Ivona
03-24;Gabriel
03-25;Marián
03-26;Emanuel
03-27;Dita
03-28;Soňa
03-29;Taťána
03-30;Arnošt
03-31;Kvido
04-01;Hugo
04-02;Erika
04-03;Richard
04-04;Ivana
04-05;Miroslava
04-06;Vendula
04-07;Heřman
04-08;Ema
04-09;Dušan
04-10;Darja
04-11;Izabela
04-12;Julius
04-13;Aleš
04-14;Vincenc
04-15;Anastázie
04-16;Irena
04-17;Rudolf
04-18;Valérie
04-19;Rostislav
04-20;Marcela
04-21;Alexandra
04-22;Evženie
04-23;Vojtěch
04-24;Jiří
04-25;Marek
04-26;Oto
04-27;Jaroslav
04-28;Vlastislav
04-29;Robert
04-30;Blahoslav
05-01;
05-02;Zikmund
05-03;Alexej
05-04;Květoslav
05-05;Klaudie
05-06;Radoslav
05-07;Stanislav
05-08;National holiday
05-09;Ctibor
05-10;Blažena
05-11;Svatava
05-12;Pankrác
05-13;Servác
05-14;Bonifác
05-15;Žofie
05-16;Přemysl
05-17;Aneta
05-18;Nataša
05-19;Ivo, Engelbert
05-20;Zbyšek
05-21;Monika
05-22;Emil
05-23;Vladimír
05-24;Jana
05-25;Viola
05-26;Filip
05-27;Valdemar
05-28;Vilém
05-29;Maxmilián
05-30;Ferdinand
05-31;Kamila
06-01;Laura
06-02;Jarmil
06-03;Tamara
06-04;Dalibor
06-05;Dobroslav
06-06;Norbert
06-07;Iveta
06-08;Medard
06-09;Stanislava
06-10;Gita
06-11;Bruno
06-12;Antonie
06-13;Antonín
06-14;Roland
06-15;Vít
06-16;Zbyněk
06-17;Adolf
06-18;Milan
06-19;Leoš
06-20;Květa
06-21;Alois
06-22;Pavla
06-23;Zdeňka
06-24;Jan
06-25;Ivan
06-26;Adriana
06-27;Ladislav
06-28;Lubomír
06-29;Petr, Pavel
06-30;Šárka
07-01;Jaroslava
07-02;Patricie
07-03;Radomír
07-04;Prokop
07-05;Cyril, Metoděj
07-06;
07-07;Bohuslava
07-08;Nora
07-09;Drahoslava
07-10;Libuše, Amálie
07-11;Olga
07-12;Bořek
07-13;Markéta
07-14;Karolína
07-15;Jindřich
07-16;Luboš
07-17;Martina
07-18;Drahomíra
07-19;Čeněk
07-20;Ilja
07-21;Vítězslav
07-22;Magdaléna
07-23;Libor
07-24;Kristýna
07-25;Jakub
07-26;Anna
07-27;Věroslav
07-28;Viktor
07-29;Marta
07-30;Bořivoj
07-31;Ignác
08-01;Oskar
08-02;Gustav
08-03;Miluše
08-04;Dominik
08-05;Kristián
08-06;Oldřiška
08-07;Lada
08-08;Soběslav
08-09;Roman
08-10;Vavřinec
08-11;Zuzana
08-12;Klára
08-13;Alena
08-14;Alan
08-15;Hana
08-16;Jáchym
08-17;Petra
08-18;Helena
08-19;Ludvík
08-20;Bernard
08-21;Johana
08-22;Bohuslav
08-23;Sandra
08-24;Bartoloměj
08-25;Radim
08-26;Luděk
08-27;Otakar
08-28;Augustýn
08-29;Evelína
08-30;Vladěna
08-31;Pavlína
09-01;Linda, Samuel
09-02;Adéla
09-03;Bronislav, Bronislava
09-04;Jindřiška
09-05;Boris
09-06;Boleslav
09-07;Regina, Regína
09-08;Mariana
09-09;Daniela
09-10;Irma
09-11;Denisa
09-12;Marie
09-13;Lubor
09-14;Radka
09-15;Jolana
09-16;Ludmila
09-17;Naděžda
09-18;Kryštof
09-19;Zita
09-20;Oleg
09-21;Matouš
09-22;Darina
09-23;Berta
09-24;Jaromír
09-25;Zlata
09-26;Andrea
09-27;Jonáš
09-28;Václav
09-29;Michal
09-30;Jeroným
10-01;Igor
10-02;Olívie, Oliver
10-03;Bohumil
10-04;František
10-05;Eliška
10-06;Hanuš
10-07;Justýna
10-08;Věra
10-09;Štefan, Sára
10-10;Marina
10-11;Andrej
10-12;Marcel
10-13;Renáta
10-14;Agáta
10-15;Tereza
10-16;Havel
10-17;Hedvika
10-18;Lukáš
10-19;Michala
10-20;Vendelín
10-21;Brigita
10-22;Sabina
10-23;Teodor
10-24;Nina
10-25;Beáta
10-26;Erik
10-27;Šarlota, Zoe
10-28;
10-29;Silvie
10-30;Tadeáš
