01-01;Mieszko, Mieczysław
01-02;Izydor, Grzegorz
01-03;Danuta, Zdzisław
01-04;Elżbieta, Aniela
01-05;Hanna, Edward, Szymon
01-06;Kacper, Melchior
01-07;Lucjan, Julian
01-08;Seweryn, Juliusz
01-09;Adrian, Marcelina
01-10;Danuta, Wilhelm
01-11;Honorata, Matylda
01-12;Ada, Benedykt
01-13;Bogumiła, Weronika
01-14;Feliks, Nina
01-15;Paweł, Arnold, Izydor
01-16;Marcela, Włodzimierz
01-17;Antoni, Jan
01-18;Małgorzata, Piotr
01-19;Henryk, Marta
01-20;Fabian, Sebastian
01-21;Agnieszka, Jarosław
01-22;Anastazy, Wincenty
01-23;Ildefons, Rajmund
01-24;Rafał, Felicja, Franciszka
01-25;Paweł, Miłosz
01-26;Tymoteusz, Michał
01-27;Aniela, Jerzy
01-28;Walery, Karol
01-29;Franciszek, Józef
01-30;Maciej, Martyna
01-31;Jan, Marcela, Ludwika
02-01;Brygida, Ignacy
02-02;Maria, Mirosław
02-03;Błażej, Oskar
02-04;Andrzej, Józef, Tytus
02-05;Agata, Adelajda
02-06;Dorota, Bogdan, Paweł
02-07;Ryszard, Teodor
02-08;Hieronim, Sebastian
02-09;Apolina, Eryka, Cyryl
02-10;Elwira, Jacek
02-11;Grzegorz, Lucjan
02-12;Radosław, Damian
02-13;Grzegorz, Katarzyna
02-14;Cyryl, Metody
02-15;Jowita, Faustyn
02-16;Danuta, Julian
02-17;Aleksy, Łukasz
02-18;Szymon, Konstancja
02-19;Arnold, Józef, Konrad
02-20;Leon, Ludomir
02-21;Robert, Eleonora
02-22;Marta, Małgorzata
02-23;Romana, Damian
02-24;Maciej, Marek
02-25;Cezary, Donat
02-26;Mirosław, Aleksander
02-27;Gabriel, Anastazja
02-28;Roman, Ludomir
02-29;
03-01;Albin, Antoni
03-02;Helena, Halszka
03-03;Maryna, Kunegunda
03-04;Eugeniusz, Kazimierz
03-05;Adrian, Fryderyk
03-06;Róża, Wiktor
03-07;Tomasz, Felicyta
03-08;Beata, Wincenty
03-09;Franciszka, Dominika
03-10;Cyprian, Aleksander
03-11;Benedykt, Konstantyn
03-12;Alojzy, Bernard
03-13;Bożena, Krystyna
03-14;Leon, Martyna
03-15;Longin, Klemens
03-16;Izabela, Oktawia
03-17;Patryk, Zbigniew
03-18;Cyryl, Edward
03-19;Józef, Bogdan
