01-01;Manuel, Emanuel, Jesús
01-02;Gregorio, Astrid, Basilio, Emma
01-03;Daniel, Genova, Genoveva, Jennifer
01-04;Eugenio
01-05;Amada, Simón, Simona, Emiliana
01-06;Baltasar, Gaspar, Reyes, Adoración
01-07;Amadeo, Raimundo, Aquiles, Luciano
01-08;Maximino, Eladio
01-09;Julián, Pedro Urseolo
01-10;Gonzalo, Marciano, Alda, Aldo
01-11;Alejandro, Guillermo, Hortensia
01-12;Alfredo, Tatiana, Tania, Hilario
01-13;Verónica, Gumersindo, Milagros
01-14;Félix, Gil
01-15;Mauro, Raquel, Marcelo
01-16;Odette, Oto, Priscila
01-17;Alba, Antonio, Mariana, Alfredo
01-18;Florida, Beatriz, Mario, Pia
01-19;Mario, Vicente, Sebastián
01-20;Fabián
01-21;Vicente
01-22;Domingo, Imanol, Emma, Gaudencio
01-23;Alberto, Ildefonso, Alberta
01-24;Francisco, Tirso, Paz, Feliciano
01-25;Elvira, Paula, Timoteo
01-26;Paula, Tito, Gonzalo
01-27;Ángela, Tomás, Valerio
01-28;Tomas, Pedro Nolasco
01-29;Valeria, Valerio, Martina
01-30;Alejandro
01-31;Juan Bosco
02-01;Cecilio
02-02;Catalina, Aída, Felipe, Ayuda
02-03;Oscar, Blas, Adelina
02-04;Gilberto, Isidro, Verónica, Juana
02-05;Isaac, Ágata, Águeda
02-06;Gonzalo, Amando, Amanda, Silvano
02-07;Moisés, Ricardo
02-08;Jerónimo, Lucio, Elisanda
02-09;Donato, Sabino, Reinaldo, Apolonia
02-10;Guillermo, Amancio, Arnaldo, Arnau
02-11;Dante, Lourdes, Adolfo
02-12;Modesto, Eulalia
02-13;Cristian, Benigno
02-14;Dionisio, Valentín, Valentina
02-15;Georgia, Georgina, Faustino
02-16;Elías, Samuel, Isaías, Jeremías
02-17;Constanza, Rómulo, Alexis
02-18;Lucio, Simeón
02-19;Álvaro, Conrado, Almudina, Gabino
02-20;Eleuterio
02-21;Irene, Pedro Damián
02-22;Margarita, Leonor
02-23;Lázaro, Romance, Policarpo
02-24;Modesto
02-25;Cesáreo, Dióscoro
02-26;Néstor
02-27;Gabriel, Gabriela, Baldomero
02-28;Román, Leandro, Romano
02-29;
03-01;Federico, Rosendo, Eudoxia
03-02;Enrique, Pablo, Enriqueta
03-03;Medín, Rosendo
03-04;Francisca, Arcadio, Eugenio
03-05;Juan José
03-06;Humberto, Olegario, Judith, Nina
03-07;Clotilde, Felicidad
03-08;Juan
03-09;Cándido, Francisca
03-10;Andrés, Macario
03-11;Ramiro, Oria
03-12;Josefina, Maximiliano, Fina
03-13;Patricia, Rodrigo, Ramiro
03-14;Jacobo, Matilde, Florentina
03-15;César, Luis, Raimundo, Madrona
03-16;Abrahan, Clemente
03-17;Patricio
03-18;Narciso, Salvador
03-19;José, Marcos, Josefa
03-20;Alejandra, Claudia
03-21;Clemencia, Fabiola, Nicolás
03-22;Sergio, Octaviano
03-23;Fidel, Oriol, Victoriano, Toribio
03-24;Delmiro, Edelmira, Edelmiro, Timolao
03-25;Abel, Gloria, Encarnación, Rebeca
03-26;Braulio, Diego
